CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Arma B.O,531151,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.3294460,82.8407340
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Gorapur B.O,531151,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.3456520,82.8698090
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Guntagannela B.O,531151,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.2723920,82.7178185
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Kollaput B.O,531151,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.4063990,82.8583980
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Pattam B.O,531151,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.1636400,82.8648750
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Rangaseela B.O,531151,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.2088183,82.7785600
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Pudimadaka B.O,531011,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.4926196,83.0023515
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Tanthadi B.O,531011,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.5302212,83.0593314
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Janguluru B.O,531011,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.5473770,82.9965190
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Adavi Agraharam B.O,531036,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,16.5236810,80.6392470
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,R Sivarampuram B.O,531036,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.7023610,82.8667540
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Kannampalem B.O,531036,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9129230,82.7399870
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Nagayyapeta B.O,531030,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9754120,82.9978470
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Nagulapalli B.O,531002,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.6668097,82.9997271
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Marepalli B.O,531030,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.0287280,82.7584890
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Valabu B.O,531030,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9939670,82.8694460
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Murakada B.O,531061,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.4734300,82.8582000
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Raja Koduru B.O,531061,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.5044560,82.9158780
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Thadi B.O,531019,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.6480550,83.0521770
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Kinthada B.O,531034,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8717201,83.0548255
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Bayyavaram B.O,531031,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.6646111,82.9397948
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Tatituru B.O,531162,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9324810,83.4023060
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,MULAKUDDU,531162,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9110990,83.4456800
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,BODAMETTAPALEM,531162,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9010860,83.4109830
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Narava B.O,530027,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.7483420,83.2151500
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Maddi B.O,531219,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9817370,83.3231570
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Padmanabham B.O,531219,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9914430,83.3375240
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Pedakodapalli B.O,531077,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.1502752,82.5902555
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Santhari B.O,531077,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.1676766,82.7881916
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Sobhakota B.O,531077,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.1663916,82.6662250
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Durgam B.O,531077,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.0882740,82.8261340
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Mettujoru B.O,531077,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.7588900,84.5088040
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Antada B.O,531084,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.7046266,82.3417500
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Bangarampeta B.O,531084,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.6707383,82.3812450
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Chittempadu B.O,531084,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.7098383,82.5009516
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Chodyam. B.O,531084,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.6644033,82.4306266
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Revallu B.O,531087,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.6240824,82.1825300
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Gabbada B.O,531118,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.7669636,82.5360711
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,J P Agraharam B.O,531118,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.6583051,82.6635037
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,K Yellavaram B.O,531118,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.6604561,82.5587011
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Kitumula B.O,531118,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8411305,82.5253896
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Jammadevipeta B.O,531027,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8665252,82.7612321
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Kinthalli B.O,531027,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8564399,82.7438010
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,M Koduru B.O,531027,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9115469,82.7896386
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Sagaram B.O,531027,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8722700,82.7725410
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Sankaram B.O,531027,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9368324,82.7366008
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Bheemaboinapalem B.O,531113,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.6321750,82.7664470
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Burugupalem B.O,531113,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.6794119,82.7168200
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Giduturu B.O,531113,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.6020806,82.6617948
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Koduru B.O,531113,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.5935201,82.7455353
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Tutipala B.O,531113,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.6914903,82.7310033
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Vajragada B.O,531113,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.6238290,82.6510450
